label,original_index,codepoint,character
0,0,U+3042,あ
1,1,U+3044,い
2,2,U+3046,う
3,4,U+304A,お
4,5,U+304B,か
5,6,U+304D,き
6,7,U+304F,く
7,8,U+3051,け
8,9,U+3053,こ
9,10,U+3055,さ
10,11,U+3057,し
11,12,U+3059,す
12,13,U+305B,せ
13,14,U+305D,そ
14,15,U+305F,た
15,16,U+3061,ち
16,17,U+3064,つ
17,18,U+3066,て
18,19,U+3068,と
19,20,U+306A,な
20,21,U+306B,に
21,22,U+306C,ぬ
22,23,U+306D,ね
23,24,U+306E,の
24,25,U+306F,は
25,26,U+3072,ひ
26,27,U+3075,ふ
27,28,U+3078,へ
28,29,U+307B,ほ
29,30,U+307E,ま
30,31,U+307F,み
31,32,U+3080,む
32,33,U+3081,め
33,34,U+3082,も
34,35,U+3084,や
35,36,U+3086,ゆ
36,37,U+3088,よ
37,38,U+3089,ら
38,39,U+308A,り
39,40,U+308B,る
40,41,U+308C,れ
41,42,U+308D,ろ
42,43,U+308F,わ
43,46,U+3092,を
44,47,U+3093,ん
45,48,U+309D,ゝ
